               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.042653,            0.012101,           0.0041487,             0.98083,             0.97959,             0.99161,             0.60994,             0.03698,           0.0052221,           0.0027652,             0.00901,             0.00901,             0.00901
                  52,            0.039127,            0.010116,           0.0042982,             0.72909,             0.83673,             0.86548,             0.61927,            0.046176,           0.0051058,             0.00273,           0.0089902,           0.0089902,           0.0089902
                  53,            0.041147,            0.013553,           0.0044846,                   1,              0.9966,               0.995,             0.48326,            0.044369,           0.0048592,           0.0027156,           0.0089704,           0.0089704,           0.0089704
                  54,            0.038017,            0.011396,           0.0039987,             0.64313,             0.77239,             0.81618,             0.56411,            0.047175,           0.0052272,           0.0027282,           0.0089506,           0.0089506,           0.0089506
                  55,            0.055191,            0.012873,           0.0041313,             0.75906,             0.90014,             0.90523,             0.72479,            0.042736,           0.0044543,           0.0027926,           0.0089308,           0.0089308,           0.0089308
                  56,            0.045176,            0.012435,           0.0044575,              0.7528,             0.87018,             0.87059,             0.46175,            0.050457,           0.0045958,           0.0026725,            0.008911,            0.008911,            0.008911
                  57,            0.044529,            0.010388,           0.0037371,             0.73623,             0.89796,             0.93009,             0.53566,            0.048268,           0.0047936,           0.0027762,           0.0088912,           0.0088912,           0.0088912
                  58,            0.054515,             0.01192,           0.0042789,             0.82103,             0.89796,             0.94465,             0.45517,            0.044929,           0.0046424,           0.0027459,           0.0088714,           0.0088714,           0.0088714
                  59,             0.04348,            0.012574,           0.0054009,             0.85464,                   1,             0.96324,             0.64073,            0.040249,           0.0044926,           0.0028928,           0.0088516,           0.0088516,           0.0088516
                  60,            0.037077,            0.012621,           0.0042291,             0.88141,             0.97959,             0.98651,             0.60618,             0.03532,           0.0045338,           0.0028757,           0.0088318,           0.0088318,           0.0088318
                  61,            0.043869,            0.012621,           0.0042916,             0.89644,             0.95918,             0.98164,              0.7835,            0.045408,           0.0046461,           0.0030905,            0.008812,            0.008812,            0.008812
                  62,             0.03256,            0.010215,           0.0040808,             0.94877,                   1,              0.9934,             0.64656,            0.037916,           0.0047838,           0.0031899,           0.0087922,           0.0087922,           0.0087922
                  63,             0.04808,            0.013492,           0.0043237,             0.91828,              0.9173,             0.97509,             0.77701,            0.036718,           0.0044535,           0.0032612,           0.0087724,           0.0087724,           0.0087724
                  64,            0.033826,            0.010599,           0.0042575,             0.84156,                   1,             0.97605,             0.69787,            0.035003,           0.0048155,           0.0033871,           0.0087526,           0.0087526,           0.0087526
                  65,            0.041992,            0.014251,           0.0049543,             0.98858,                   1,               0.995,             0.70412,            0.031994,            0.004414,           0.0033143,           0.0087328,           0.0087328,           0.0087328
                  66,            0.032953,           0.0093325,            0.004273,             0.84388,             0.95918,             0.96205,             0.61304,            0.037486,           0.0044136,           0.0032798,            0.008713,            0.008713,            0.008713
                  67,            0.040021,            0.010617,           0.0042954,             0.96359,             0.97959,             0.99087,             0.76465,            0.033278,           0.0040435,           0.0031312,           0.0086932,           0.0086932,           0.0086932
                  68,            0.033134,           0.0098165,           0.0039293,             0.71881,             0.97959,             0.93275,             0.63978,            0.029241,           0.0045469,           0.0030686,           0.0086734,           0.0086734,           0.0086734
                  69,             0.03615,           0.0090432,           0.0036331,             0.99759,                   1,               0.995,             0.72514,            0.036028,           0.0040296,           0.0029276,           0.0086536,           0.0086536,           0.0086536
                  70,            0.035943,             0.01331,           0.0041104,             0.94109,             0.97807,             0.99114,             0.77368,            0.029179,           0.0042053,           0.0029716,           0.0086338,           0.0086338,           0.0086338
                  71,            0.036769,           0.0087177,           0.0036584,             0.99919,                   1,               0.995,             0.72172,            0.033779,           0.0040869,           0.0029444,            0.008614,            0.008614,            0.008614
                  72,            0.032131,           0.0089516,            0.003814,             0.94201,             0.99471,             0.99269,             0.69353,             0.02809,             0.00433,           0.0030508,           0.0085942,           0.0085942,           0.0085942
                  73,            0.040057,            0.011991,           0.0038314,             0.94325,                   1,             0.99343,             0.74369,            0.026286,           0.0039815,           0.0030208,           0.0085744,           0.0085744,           0.0085744
                  74,            0.034452,           0.0094516,           0.0038003,             0.95915,                   1,               0.995,             0.64177,            0.029421,           0.0040462,           0.0031295,           0.0085546,           0.0085546,           0.0085546
                  75,            0.037674,            0.011922,             0.00411,             0.96546,                   1,               0.995,             0.78035,            0.025973,           0.0040251,           0.0030477,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030158,            0.010139,           0.0039089,             0.98749,                   1,               0.995,             0.81142,            0.033426,           0.0041917,           0.0030895,            0.008515,            0.008515,            0.008515
                  77,            0.040004,            0.013689,            0.004327,             0.97212,                   1,               0.995,             0.76902,            0.028199,           0.0039582,           0.0030752,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032132,           0.0093059,            0.003849,             0.97799,                   1,               0.995,             0.75349,            0.024916,           0.0039134,           0.0029486,           0.0084754,           0.0084754,           0.0084754
                  79,            0.033559,           0.0096185,            0.003664,             0.98209,                   1,               0.995,             0.75234,            0.034386,            0.004557,           0.0029157,           0.0084556,           0.0084556,           0.0084556
                  80,            0.039315,           0.0074994,            0.003521,             0.98949,                   1,               0.995,             0.83689,            0.026179,             0.00409,           0.0029764,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028366,           0.0085784,           0.0034389,             0.98227,                   1,               0.995,             0.70257,            0.033087,           0.0043432,           0.0030005,            0.008416,            0.008416,            0.008416
